Fecha;Lugar;Precio_m2;Variacion_mensual;Variacion_trimestral;Variacion anual
abr-24;Arganzuela;19,2;0,5;6,1;17,9
mar-24;Arganzuela;19,1;2,6;7,6;16,9
feb-24;Arganzuela;18,6;2,8;7,2;15,1
ene-24;Arganzuela;18,1;2;4,5;11,5
dic-23;Arganzuela;17,7;2,3;3;10,3
nov-23;Arganzuela;17,3;0,2;2,4;8,3
oct-23;Arganzuela;17,3;0,5;3,6;9,9
sept-23;Arganzuela;17,2;1,7;4,6;10,7
ago-23;Arganzuela;16,9;1,5;3,3;8,7
jul-23;Arganzuela;16,7;1,4;2,6;7,7
jun-23;Arganzuela;16,4;0,5;0,8;8,8
may-23;Arganzuela;16,4;0,7;1,5;8,7
abr-23;Arganzuela;16,3;-0,3;0,3;7,7
mar-23;Arganzuela;16,3;1,1;1,6;8,7
feb-23;Arganzuela;16,1;-0,4;0,8;7,5
ene-23;Arganzuela;16,2;0,9;3,1;10,3
dic-22;Arganzuela;16;0,3;3,3;10,1
nov-22;Arganzuela;16;1,8;2,8;10
oct-22;Arganzuela;15,7;1,1;1,5;8,4
sept-22;Arganzuela;15,5;-0,1;2,8;7,9
ago-22;Arganzuela;15,6;0,5;3,3;9,3
jul-22;Arganzuela;15,5;2,4;2,6;9
jun-22;Arganzuela;15,1;0,3;0,7;6,6
may-22;Arganzuela;15,1;-0,2;0,4;6,3
abr-22;Arganzuela;15,1;0,6;2,7;5,3
mar-22;Arganzuela;15;0;2,9;5
feb-22;Arganzuela;15;2,2;3,1;5,9
ene-22;Arganzuela;14,7;0,7;1,3;3,6
dic-21;Arganzuela;14,6;0,2;1,2;1,1
nov-21;Arganzuela;14,5;0,3;2,2;-1,5
oct-21;Arganzuela;14,5;0,7;2,2;-3,3
sept-21;Arganzuela;14,4;1,2;1,7;-5,4
ago-21;Arganzuela;14,2;0,3;0,5;-7,9
jul-21;Arganzuela;14,2;0,2;-1;-8,9
jun-21;Arganzuela;14,2;0;-0,8;-10,3
may-21;Arganzuela;14,2;-1,1;0;-11,8
abr-21;Arganzuela;14,3;0,3;1,1;-8,8
mar-21;Arganzuela;14,3;0,8;-0,9;-9,1
feb-21;Arganzuela;14,2;-0,1;-4,1;-10,5
ene-21;Arganzuela;14,2;-1,7;-5,5;-9
dic-20;Arganzuela;14,4;-2,4;-5,2;-7,7
nov-20;Arganzuela;14,8;-1,5;-4,4;-5,5
oct-20;Arganzuela;15;-1,4;-3,7;-4,5
sept-20;Arganzuela;15,2;-1,5;-3,7;-1,6
ago-20;Arganzuela;15,5;-0,8;-3,8;0,7
jul-20;Arganzuela;15,6;-1,3;-0,8;1,6
jun-20;Arganzuela;15,8;-1,7;0,6;2,2
may-20;Arganzuela;16,1;2,3;1,5;4,4
abr-20;Arganzuela;15,7;0;0,8;2,5
mar-20;Arganzuela;15,7;-0,8;0,5;3,5
feb-20;Arganzuela;15,8;1,6;1,4;5,7
ene-20;Arganzuela;15,6;-0,2;-0,8;4
dic-19;Arganzuela;15,6;0;1;4,2
nov-19;Arganzuela;15,6;-0,6;1,8;4,1
oct-19;Arganzuela;15,7;1,6;2,5;4,7
sept-19;Arganzuela;15,5;0,7;0,1;4
ago-19;Arganzuela;15,4;0,1;-0,2;4,7
jul-19;Arganzuela;15,3;-0,8;0;5,5
jun-19;Arganzuela;15,5;0,5;1,8;4,3
may-19;Arganzuela;15,4;0,3;2,7;4,9
abr-19;Arganzuela;15,3;1;2,3;5,1
mar-19;Arganzuela;15,2;1,3;1,2;5
feb-19;Arganzuela;15;-0,1;-0,1;4,9
ene-19;Arganzuela;15;0;-0,1;6,2
dic-18;Arganzuela;15;0;0,9;8
nov-18;Arganzuela;15;0;2,3;7,4
oct-18;Arganzuela;15;0,9;3,3;8,1
sept-18;Arganzuela;14,9;1,4;0,3;7,9
ago-18;Arganzuela;14,7;1;0;6,6
jul-18;Arganzuela;14,5;-2;-0,4;5,6
jun-18;Arganzuela;14,8;1,1;2,5;9,1
may-18;Arganzuela;14,7;0,6;2,7;6,9
abr-18;Arganzuela;14,6;0,9;3,3;6,9
mar-18;Arganzuela;14,5;1,2;4,1;8,4
feb-18;Arganzuela;14,3;1,2;2,3;7,4
ene-18;Arganzuela;14,1;1,7;1,8;8,9
dic-17;Arganzuela;13,9;-0,6;0,8;7,3
nov-17;Arganzuela;14;0,7;1,5;10,2
oct-17;Arganzuela;13,9;0,7;0,8;11
sept-17;Arganzuela;13,8;0,1;1,4;12,2
ago-17;Arganzuela;13,8;0,1;0,3;13,3
jul-17;Arganzuela;13,8;1,2;0,9;13,8
jun-17;Arganzuela;13,6;-1;1,9;11,9
may-17;Arganzuela;13,7;0,6;3,2;12,8
abr-17;Arganzuela;13,6;2,3;5,2;12,3
mar-17;Arganzuela;13,3;0,3;3,1;9,5
feb-17;Arganzuela;13,3;2,6;5;8,8
ene-17;Arganzuela;13;0,2;3,7;7,1
dic-16;Arganzuela;12,9;2,1;5,4;7,7
nov-16;Arganzuela;12,7;1,3;4,3;5,9
oct-16;Arganzuela;12,5;1,9;3,4;7,1
sept-16;Arganzuela;12,3;1,1;1,1;6,4
ago-16;Arganzuela;12,1;0,5;-0,2;5,2
jul-16;Arganzuela;12,1;-0,5;-0,5;4,7
jun-16;Arganzuela;12,1;-0,2;-0,3;4,7
may-16;Arganzuela;12,2;0,2;-0,5;4,9
abr-16;Arganzuela;12,1;-0,3;0,3;5
mar-16;Arganzuela;12,2;-0,3;1,4;6,4
feb-16;Arganzuela;12,2;1;2,2;6,9
ene-16;Arganzuela;12,1;0,8;3,8;6,5
dic-15;Arganzuela;12;0,5;4,1;6,8
nov-15;Arganzuela;12;2,5;3,6;8
oct-15;Arganzuela;11,7;1,1;1,1;5,7
sept-15;Arganzuela;11,5;0;-0,5;4,9
ago-15;Arganzuela;11,5;0;-0,5;4,9
jul-15;Arganzuela;11,5;-0,5;-0,2;4,9
jun-15;Arganzuela;11,6;0;1,3;5,4
may-15;Arganzuela;11,6;0,3;1,4;4,3
abr-15;Arganzuela;11,6;1;1,8;4,1
mar-15;Arganzuela;11,4;0,2;1,7;3,7
feb-15;Arganzuela;11,4;0,6;3,2;4
ene-15;Arganzuela;11,4;1;3;4,3
dic-14;Arganzuela;11,3;1,6;2,3;3,2
nov-14;Arganzuela;11,1;0,3;0,7;0
oct-14;Arganzuela;11;0,3;0,3;0,3
sept-14;Arganzuela;11;0;0;0
ago-14;Arganzuela;11;0;-1;-1
jul-14;Arganzuela;11;0;-1;-1,8
jun-14;Arganzuela;11;-1;-0,4;-1,7
may-14;Arganzuela;11,1;0;1,1;-1,2
abr-14;Arganzuela;11,1;0,6;2;-1,2
mar-14;Arganzuela;11;0,5;1,3;-2,8
feb-14;Arganzuela;11;0,9;-0,7;-3
ene-14;Arganzuela;10,9;0;-1;-3,2
dic-13;Arganzuela;10,9;-1,6;-0,9;-2,5
nov-13;Arganzuela;11,1;0,6;-0,3;-2,7
oct-13;Arganzuela;11;0;-1,8;-4,4
sept-13;Arganzuela;11;-1;-1,7;-4,7
ago-13;Arganzuela;11,1;-0,8;-1,2;-3,4
