distrito,fecha,poblacion
ARGANZUELA,2013-01-01,154862
MORATALAZ,2013-01-01,98385
MONCLOA - ARAVACA,2013-01-01,117670
FUENCARRAL - EL PARDO,2013-01-01,234920
SALAMANCA,2013-01-01,146568
SAN BLAS-CANILLEJAS,2013-01-01,156092
CIUDAD LINEAL,2013-01-01,219928
CENTRO,2013-01-01,139410
VICÁLVARO,2013-01-01,70679
VILLA DE VALLECAS,2013-01-01,98060
TETUÁN,2013-01-01,156487
CHAMBERÍ,2013-01-01,141881
PUENTE DE VALLECAS,2013-01-01,234251
LATINA,2013-01-01,244438
VILLAVERDE,2013-01-01,144930
BARAJAS,2013-01-01,46265
CARABANCHEL,2013-01-01,248738
USERA,2013-01-01,136631
HORTALEZA,2013-01-01,174655
RETIRO,2013-01-01,120810
CHAMARTÍN,2013-01-01,145449
USERA,2013-02-01,136550
HORTALEZA,2013-02-01,174559
CENTRO,2013-02-01,139077
CIUDAD LINEAL,2013-02-01,219461
CHAMARTÍN,2013-02-01,145172
CARABANCHEL,2013-02-01,248265
VICÁLVARO,2013-02-01,70537
FUENCARRAL - EL PARDO,2013-02-01,234705
MONCLOA - ARAVACA,2013-02-01,117519
ARGANZUELA,2013-02-01,154647
MORATALAZ,2013-02-01,98240
VILLA DE VALLECAS,2013-02-01,98253
SAN BLAS-CANILLEJAS,2013-02-01,155923
SALAMANCA,2013-02-01,146317
PUENTE DE VALLECAS,2013-02-01,233929
LATINA,2013-02-01,243964
BARAJAS,2013-02-01,46312
VILLAVERDE,2013-02-01,144768
TETUÁN,2013-02-01,156245
RETIRO,2013-02-01,120638
CHAMBERÍ,2013-02-01,141642
TETUÁN,2013-03-01,154769
CHAMARTÍN,2013-03-01,144246
CARABANCHEL,2013-03-01,246374
FUENCARRAL - EL PARDO,2013-03-01,233706
USERA,2013-03-01,135447
VILLAVERDE,2013-03-01,143776
ARGANZUELA,2013-03-01,153583
MORATALAZ,2013-03-01,97749
BARAJAS,2013-03-01,46065
VILLA DE VALLECAS,2013-03-01,98127
MONCLOA - ARAVACA,2013-03-01,117006
SAN BLAS-CANILLEJAS,2013-03-01,155258
RETIRO,2013-03-01,120034
PUENTE DE VALLECAS,2013-03-01,232082
SALAMANCA,2013-03-01,145202
VICÁLVARO,2013-03-01,70259
LATINA,2013-03-01,242412
CENTRO,2013-03-01,137287
CHAMBERÍ,2013-03-01,140663
CIUDAD LINEAL,2013-03-01,218051
HORTALEZA,2013-03-01,173726
LATINA,2013-04-01,242799
FUENCARRAL - EL PARDO,2013-04-01,234027
CIUDAD LINEAL,2013-04-01,218165
BARAJAS,2013-04-01,46118
USERA,2013-04-01,135826
CHAMARTÍN,2013-04-01,144331
SALAMANCA,2013-04-01,145396
PUENTE DE VALLECAS,2013-04-01,232444
SAN BLAS-CANILLEJAS,2013-04-01,155396
VILLAVERDE,2013-04-01,144167
VILLA DE VALLECAS,2013-04-01,98501
RETIRO,2013-04-01,120100
MORATALAZ,2013-04-01,97718
MONCLOA - ARAVACA,2013-04-01,117145
TETUÁN,2013-04-01,154909
CHAMBERÍ,2013-04-01,140860
ARGANZUELA,2013-04-01,153682
CARABANCHEL,2013-04-01,246863
HORTALEZA,2013-04-01,173971
VICÁLVARO,2013-04-01,70301
CENTRO,2013-04-01,137358
HORTALEZA,2013-05-01,173806
VILLAVERDE,2013-05-01,143953
CENTRO,2013-05-01,136752
SAN BLAS-CANILLEJAS,2013-05-01,155125
LATINA,2013-05-01,242307
SALAMANCA,2013-05-01,144844
CHAMBERÍ,2013-05-01,140551
TETUÁN,2013-05-01,154196
CIUDAD LINEAL,2013-05-01,217569
VICÁLVARO,2013-05-01,70236
PUENTE DE VALLECAS,2013-05-01,231946
BARAJAS,2013-05-01,46053
CARABANCHEL,2013-05-01,246235
MORATALAZ,2013-05-01,97512
CHAMARTÍN,2013-05-01,144160
VILLA DE VALLECAS,2013-05-01,98652
ARGANZUELA,2013-05-01,153249
MONCLOA - ARAVACA,2013-05-01,117005
FUENCARRAL - EL PARDO,2013-05-01,233917
USERA,2013-05-01,135468
RETIRO,2013-05-01,119946
ARGANZUELA,2013-06-01,153241
CHAMBERÍ,2013-06-01,140300
VICÁLVARO,2013-06-01,70211
TETUÁN,2013-06-01,154173
USERA,2013-06-01,135486
LATINA,2013-06-01,242167
VILLAVERDE,2013-06-01,143868
BARAJAS,2013-06-01,46062
HORTALEZA,2013-06-01,173770
RETIRO,2013-06-01,119811
MORATALAZ,2013-06-01,97372
PUENTE DE VALLECAS,2013-06-01,231762
CENTRO,2013-06-01,136669
CHAMARTÍN,2013-06-01,144049
VILLA DE VALLECAS,2013-06-01,98726
SAN BLAS-CANILLEJAS,2013-06-01,155128
SALAMANCA,2013-06-01,144899
CIUDAD LINEAL,2013-06-01,217407
CARABANCHEL,2013-06-01,246204
FUENCARRAL - EL PARDO,2013-06-01,233909
MONCLOA - ARAVACA,2013-06-01,116895
SAN BLAS-CANILLEJAS,2013-07-01,154401
MONCLOA - ARAVACA,2013-07-01,116209
BARAJAS,2013-07-01,45839
PUENTE DE VALLECAS,2013-07-01,230296
FUENCARRAL - EL PARDO,2013-07-01,233100
RETIRO,2013-07-01,119423
ARGANZUELA,2013-07-01,152366
VILLA DE VALLECAS,2013-07-01,98291
USERA,2013-07-01,134517
MORATALAZ,2013-07-01,96788
CARABANCHEL,2013-07-01,244355
HORTALEZA,2013-07-01,173162
SALAMANCA,2013-07-01,143949
TETUÁN,2013-07-01,153087
CHAMBERÍ,2013-07-01,139468
LATINA,2013-07-01,240508
VILLAVERDE,2013-07-01,143073
CIUDAD LINEAL,2013-07-01,216121
VICÁLVARO,2013-07-01,69872
CENTRO,2013-07-01,135176
CHAMARTÍN,2013-07-01,143376
LATINA,2013-08-01,240256
CENTRO,2013-08-01,135148
CARABANCHEL,2013-08-01,244244
FUENCARRAL - EL PARDO,2013-08-01,233171
RETIRO,2013-08-01,119258
VICÁLVARO,2013-08-01,69973
VILLA DE VALLECAS,2013-08-01,98459
HORTALEZA,2013-08-01,173195
SALAMANCA,2013-08-01,143826
PUENTE DE VALLECAS,2013-08-01,230409
USERA,2013-08-01,134526
MORATALAZ,2013-08-01,96842
BARAJAS,2013-08-01,45858
VILLAVERDE,2013-08-01,143182
MONCLOA - ARAVACA,2013-08-01,116083
CHAMBERÍ,2013-08-01,139326
CHAMARTÍN,2013-08-01,143357
TETUÁN,2013-08-01,153226
SAN BLAS-CANILLEJAS,2013-08-01,154386
ARGANZUELA,2013-08-01,152293
CIUDAD LINEAL,2013-08-01,216116
PUENTE DE VALLECAS,2013-09-01,230908
SAN BLAS-CANILLEJAS,2013-09-01,154560
VILLA DE VALLECAS,2013-09-01,98761
MORATALAZ,2013-09-01,96843
MONCLOA - ARAVACA,2013-09-01,116361
VILLAVERDE,2013-09-01,143396
CIUDAD LINEAL,2013-09-01,216442
LATINA,2013-09-01,240417
CARABANCHEL,2013-09-01,244647
CENTRO,2013-09-01,135594
TETUÁN,2013-09-01,153529
FUENCARRAL - EL PARDO,2013-09-01,233620
CHAMARTÍN,2013-09-01,143525
SALAMANCA,2013-09-01,144068
BARAJAS,2013-09-01,45894
CHAMBERÍ,2013-09-01,139614
RETIRO,2013-09-01,119395
ARGANZUELA,2013-09-01,152589
USERA,2013-09-01,134813
VICÁLVARO,2013-09-01,70051
HORTALEZA,2013-09-01,173594
HORTALEZA,2013-10-01,173385
VILLA DE VALLECAS,2013-10-01,98822
TETUÁN,2013-10-01,153277
BARAJAS,2013-10-01,45806
SAN BLAS-CANILLEJAS,2013-10-01,154190
ARGANZUELA,2013-10-01,152314
CHAMARTÍN,2013-10-01,143301
CIUDAD LINEAL,2013-10-01,215902
PUENTE DE VALLECAS,2013-10-01,230125
FUENCARRAL - EL PARDO,2013-10-01,233464
MORATALAZ,2013-10-01,96716
SALAMANCA,2013-10-01,144139
VILLAVERDE,2013-10-01,142983
RETIRO,2013-10-01,119343
USERA,2013-10-01,134458
CHAMBERÍ,2013-10-01,139508
VICÁLVARO,2013-10-01,69972
CENTRO,2013-10-01,135472
LATINA,2013-10-01,239720
MONCLOA - ARAVACA,2013-10-01,116307
CARABANCHEL,2013-10-01,244292
CIUDAD LINEAL,2013-11-01,215274
TETUÁN,2013-11-01,153029
CENTRO,2013-11-01,135183
CARABANCHEL,2013-11-01,243937
VICÁLVARO,2013-11-01,69899
ARGANZUELA,2013-11-01,152094
CHAMBERÍ,2013-11-01,139250
FUENCARRAL - EL PARDO,2013-11-01,233322
VILLA DE VALLECAS,2013-11-01,98890
MORATALAZ,2013-11-01,96546
HORTALEZA,2013-11-01,173128
SAN BLAS-CANILLEJAS,2013-11-01,153928
MONCLOA - ARAVACA,2013-11-01,116217
RETIRO,2013-11-01,119197
SALAMANCA,2013-11-01,144052
BARAJAS,2013-11-01,45778
CHAMARTÍN,2013-11-01,143153
VILLAVERDE,2013-11-01,142746
USERA,2013-11-01,134352
PUENTE DE VALLECAS,2013-11-01,229743
LATINA,2013-11-01,239246
CENTRO,2013-12-01,134937
TETUÁN,2013-12-01,153143
CHAMBERÍ,2013-12-01,139176
MORATALAZ,2013-12-01,96471
USERA,2013-12-01,134154
HORTALEZA,2013-12-01,173122
CARABANCHEL,2013-12-01,243573
RETIRO,2013-12-01,119148
VICÁLVARO,2013-12-01,69884
BARAJAS,2013-12-01,45721
FUENCARRAL - EL PARDO,2013-12-01,233198
VILLA DE VALLECAS,2013-12-01,98933
PUENTE DE VALLECAS,2013-12-01,229508
VILLAVERDE,2013-12-01,142502
ARGANZUELA,2013-12-01,152052
SAN BLAS-CANILLEJAS,2013-12-01,153788
MONCLOA - ARAVACA,2013-12-01,116147
LATINA,2013-12-01,238858
CHAMARTÍN,2013-12-01,143124
SALAMANCA,2013-12-01,144095
CIUDAD LINEAL,2013-12-01,214974
TETUÁN,2014-01-01,152578
USERA,2014-01-01,133571
MORATALAZ,2014-01-01,96296
MONCLOA - ARAVACA,2014-01-01,115859
LATINA,2014-01-01,237995
VICÁLVARO,2014-01-01,69724
VILLAVERDE,2014-01-01,142085
CIUDAD LINEAL,2014-01-01,214163
VILLA DE VALLECAS,2014-01-01,98934
SALAMANCA,2014-01-01,143624
CHAMARTÍN,2014-01-01,142968
PUENTE DE VALLECAS,2014-01-01,228729
SAN BLAS-CANILLEJAS,2014-01-01,153396
ARGANZUELA,2014-01-01,151677
FUENCARRAL - EL PARDO,2014-01-01,232996
CHAMBERÍ,2014-01-01,138875
CARABANCHEL,2014-01-01,242717
BARAJAS,2014-01-01,45661
