"fecha","distrito","poblacion"
2013-01-01,"ARGANZUELA","154.862"
2013-01-01,"BARAJAS"," 46.265"
2013-01-01,"CARABANCHEL","248.738"
2013-01-01,"CENTRO","139.410"
2013-01-01,"CHAMARTÍN","145.449"
2013-01-01,"CHAMBERÍ","141.881"
2013-01-01,"CIUDAD LINEAL","219.928"
2013-01-01,"FUENCARRAL - EL PARDO","234.920"
2013-01-01,"HORTALEZA","174.655"
2013-01-01,"LATINA","244.438"
2013-01-01,"MONCLOA - ARAVACA","117.670"
2013-01-01,"MORATALAZ"," 98.385"
2013-01-01,"PUENTE DE VALLECAS","234.251"
2013-01-01,"RETIRO","120.810"
2013-01-01,"SALAMANCA","146.568"
2013-01-01,"SAN BLAS-CANILLEJAS","156.092"
2013-01-01,"TETUÁN","156.487"
2013-01-01,"USERA","136.631"
2013-01-01,"VICÁLVARO"," 70.679"
2013-01-01,"VILLA DE VALLECAS"," 98.060"
2013-01-01,"VILLAVERDE","144.930"
2013-02-01,"ARGANZUELA","154.647"
2013-02-01,"BARAJAS"," 46.312"
2013-02-01,"CARABANCHEL","248.265"
2013-02-01,"CENTRO","139.077"
2013-02-01,"CHAMARTÍN","145.172"
2013-02-01,"CHAMBERÍ","141.642"
2013-02-01,"CIUDAD LINEAL","219.461"
2013-02-01,"FUENCARRAL - EL PARDO","234.705"
2013-02-01,"HORTALEZA","174.559"
2013-02-01,"LATINA","243.964"
2013-02-01,"MONCLOA - ARAVACA","117.519"
2013-02-01,"MORATALAZ"," 98.240"
2013-02-01,"PUENTE DE VALLECAS","233.929"
2013-02-01,"RETIRO","120.638"
2013-02-01,"SALAMANCA","146.317"
2013-02-01,"SAN BLAS-CANILLEJAS","155.923"
2013-02-01,"TETUÁN","156.245"
2013-02-01,"USERA","136.550"
2013-02-01,"VICÁLVARO"," 70.537"
2013-02-01,"VILLA DE VALLECAS"," 98.253"
2013-02-01,"VILLAVERDE","144.768"
2013-03-01,"ARGANZUELA","153.583"
2013-03-01,"BARAJAS"," 46.065"
2013-03-01,"CARABANCHEL","246.374"
2013-03-01,"CENTRO","137.287"
2013-03-01,"CHAMARTÍN","144.246"
2013-03-01,"CHAMBERÍ","140.663"
