Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.4.C. Paro registrado por Distrito, Sección de actividad (CNAE-09) y Sexo por Mes (desde 2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Ambos sexos;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Hombres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres;Mujeres
;;;Total;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades de hogares;U Actividades de organizaciones y organismos extraterritoriales;Sin actividad económica (Sin empleo anterior);Total;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades de hogares;U Actividades de organizaciones y organismos extraterritoriales;Sin actividad económica (Sin empleo anterior);Total;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades de hogares;U Actividades de organizaciones y organismos extraterritoriales;Sin actividad económica (Sin empleo anterior)
Ciudad de Madrid;2023;Enero;145.707;949;117;5.099;80;977;10.349;18.457;5.439;13.366;6.859;2.920;1.440;17.029;23.169;4.850;5.009;7.184;3.172;4.460;4.640;79;10.063;62.459;522;46;2.847;40;628;8.703;7.509;3.719;5.450;3.426;1.284;598;6.538;9.473;1.635;1.339;1.474;1.419;1.268;878;19;3.644;83.248;427;71;2.252;40;349;1.646;10.948;1.720;7.916;3.433;1.636;842;10.491;13.696;3.215;3.670;5.710;1.753;3.192;3.762;60;6.419
Ciudad de Madrid;2023;Febrero;148.294;957;121;5.115;85;974;10.281;18.792;5.729;13.664;6.991;2.929;1.468;17.266;23.821;4.793;4.802;7.195;3.181;4.521;4.901;82;10.626;63.566;533;46;2.845;41;629;8.643;7.677;3.906;5.559;3.516;1.284;621;6.628;9.756;1.612;1.282;1.474;1.438;1.310;876;22;3.868;84.728;424;75;2.270;44;345;1.638;11.115;1.823;8.105;3.475;1.645;847;10.638;14.065;3.181;3.520;5.721;1.743;3.211;4.025;60;6.758
Ciudad de Madrid;2023;Marzo;149.263;955;122;5.134;87;975;10.234;18.839;5.784;13.784;6.892;2.924;1.459;17.445;23.830;5.005;4.693;7.174;3.192;4.571;5.031;80;11.053;63.847;529;47;2.855;43;630;8.572;7.680;3.967;5.598;3.466;1.287;612;6.688;9.749;1.721;1.269;1.433;1.451;1.343;866;19;4.022;85.416;426;75;2.279;44;345;1.662;11.159;1.817;8.186;3.426;1.637;847;10.757;14.081;3.284;3.424;5.741;1.741;3.228;4.165;61;7.031
Ciudad de Madrid;2023;Abril;146.359;939;117;5.011;81;916;10.094;18.279;5.709;13.377;6.731;2.864;1.447;17.185;23.207;4.926;4.732;7.114;3.124;4.479;5.002;81;10.944;62.513;522;41;2.770;39;589;8.454;7.472;3.929;5.408;3.437;1.274;595;6.565;9.445;1.697;1.270;1.423;1.441;1.315;852;21;3.954;83.846;417;76;2.241;42;327;1.640;10.807;1.780;7.969;3.294;1.590;852;10.620;13.762;3.229;3.462;5.691;1.683;3.164;4.150;60;6.990
Ciudad de Madrid;2023;Mayo;144.220;921;110;4.843;76;863;9.797;17.875;5.515;13.414;6.630;2.804;1.447;17.059;22.659;5.144;4.756;7.107;3.072;4.341;4.929;77;10.781;60.861;505;42;2.632;37;547;8.161;7.251;3.790;5.356;3.368;1.247;606;6.445;9.110;1.761;1.262;1.406;1.385;1.265;820;24;3.841;83.359;416;68;2.211;39;316;1.636;10.624;1.725;8.058;3.262;1.557;841;10.614;13.549;3.383;3.494;5.701;1.687;3.076;4.109;53;6.940
Ciudad de Madrid;2023;Junio;142.896;907;106;4.786;86;846;9.616;17.556;5.353;13.631;6.794;2.773;1.419;17.139;22.086;5.001;5.077;6.791;3.055;4.345;4.782;70;10.677;60.066;510;42;2.630;44;532;8.021;7.085;3.675;5.333;3.423;1.217;607;6.448;8.749;1.743;1.355;1.377;1.365;1.274;753;19;3.864;82.830;397;64;2.156;42;314;1.595;10.471;1.678;8.298;3.371;1.556;812;10.691;13.337;3.258;3.722;5.414;1.690;3.071;4.029;51;6.813
Ciudad de Madrid;2023;Julio;141.653;871;109;4.739;94;772;9.439;17.375;5.251;13.567;7.229;2.828;1.421;17.289;21.301;4.870;5.871;6.120;3.144;4.296;4.580;72;10.415;59.537;481;45;2.590;48;468;7.861;7.016;3.586;5.381;3.664;1.244;611;6.514;8.445;1.695;1.580;1.196;1.369;1.236;685;19;3.803;82.116;390;64;2.149;46;304;1.578;10.359;1.665;8.186;3.565;1.584;810;10.775;12.856;3.175;4.291;4.924;1.775;3.060;3.895;53;6.612
Ciudad de Madrid;2023;Agosto;142.718;856;111;4.731;87;756;9.486;17.460;5.493;13.632;7.331;2.822;1.440;17.415;21.349;4.959;6.116;6.060;3.202;4.363;4.588;71;10.390;60.175;468;46;2.562;45;461;7.926;7.057;3.745;5.473;3.704;1.241;591;6.610;8.511;1.757;1.655;1.195;1.374;1.256;677;18;3.803;82.543;388;65;2.169;42;295;1.560;10.403;1.748;8.159;3.627;1.581;849;10.805;12.838;3.202;4.461;4.865;1.828;3.107;3.911;53;6.587
Ciudad de Madrid;2023;Septiembre;143.473;862;113;4.743;91;813;9.480;17.602;5.637;13.129;7.062;2.741;1.436;17.491;21.865;5.046;5.701;6.479;3.175;4.466;4.863;70;10.608;60.446;467;45;2.557;48;501;7.917;7.117;3.840;5.245;3.566;1.206;601;6.659;8.809;1.788;1.528;1.269;1.385;1.272;764;15;3.847;83.027;395;68;2.186;43;312;1.563;10.485;1.797;7.884;3.496;1.535;835;10.832;13.056;3.258;4.173;5.210;1.790;3.194;4.099;55;6.761
