Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2016;Enero;Ciudad de Madrid;211.370;100.177;111.193;3.852;1.955;1.897;15.200;7.913;7.287;39.573;20.437;19.136;12.555;5.241;7.314;92.098;45.703;46.395;11.424;5.073;6.351;8.996;3.146;5.850;27.313;10.601;16.712;359;108;251;0;0;0
2016;Enero;01. Centro;9.664;5.141;4.523;128;73;55;406;257;149;2.213;1.290;923;389;192;197;3.579;2.071;1.508;474;242;232;407;166;241;2.047;842;1.205;21;8;13;0;0;0
2016;Enero;02. Arganzuela;9.079;4.163;4.916;61;37;24;319;163;156;1.722;913;809;538;218;320;3.302;1.591;1.711;608;292;316;633;227;406;1.854;709;1.145;42;13;29;0;0;0
2016;Enero;03. Retiro;5.233;2.342;2.891;42;19;23;77;50;27;721;349;372;215;100;115;1.962;910;1.052;330;158;172;369;146;223;1.491;606;885;26;4;22;0;0;0
2016;Enero;04. Salamanca;6.070;2.604;3.466;19;6;13;120;49;71;1.790;828;962;218;90;128;1.624;751;873;288;132;156;344;128;216;1.642;616;1.026;25;4;21;0;0;0
2016;Enero;05. Chamartín;5.789;2.530;3.259;11;3;8;133;65;68;1.145;521;624;202;76;126;1.738;808;930;305;137;168;398;150;248;1.840;763;1.077;17;7;10;0;0;0
2016;Enero;06. Tetuán;10.503;5.011;5.492;47;21;26;1.384;726;658;1.654;851;803;573;231;342;4.446;2.200;2.246;495;219;276;450;165;285;1.446;595;851;8;3;5;0;0;0
2016;Enero;07. Chamberí;6.222;2.769;3.453;55;21;34;213;115;98;916;457;459;229;82;147;2.136;1.068;1.068;296;139;157;354;134;220;1.992;742;1.250;31;11;20;0;0;0
2016;Enero;08. Fuencarral-El Pardo;11.201;4.936;6.265;29;8;21;518;255;263;1.726;849;877;657;265;392;4.629;2.119;2.510;697;306;391;674;236;438;2.240;888;1.352;31;10;21;0;0;0
