Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2020;Enero;Ciudad de Madrid;166.337;73.570;92.767;1.883;790;1.093;11.892;5.412;6.480;48.697;22.889;25.808;9.242;3.599;5.643;57.402;26.604;30.798;8.862;3.778;5.084;5.490;1.864;3.626;22.616;8.556;14.060;253;78;175;0;0;0
2020;Enero;01. Centro;7.631;3.982;3.649;61;37;24;310;176;134;2.284;1.264;1.020;305;153;152;2.293;1.282;1.011;365;177;188;297;146;151;1.695;740;955;21;7;14;0;0;0
2020;Enero;02. Arganzuela;6.825;3.046;3.779;36;19;17;198;103;95;1.291;642;649;381;159;222;2.337;1.092;1.245;480;222;258;402;148;254;1.670;652;1.018;30;9;21;0;0;0
2020;Enero;03. Retiro;4.118;1.822;2.296;9;4;5;111;48;63;1.101;533;568;158;73;85;1.152;535;617;235;115;120;229;82;147;1.113;430;683;10;2;8;0;0;0
2020;Enero;04. Salamanca;4.717;1.944;2.773;8;3;5;89;24;65;1.579;676;903;156;57;99;1.149;534;615;239;109;130;225;71;154;1.247;466;781;25;4;21;0;0;0
2020;Enero;05. Chamartín;4.508;1.904;2.604;23;7;16;103;45;58;1.243;581;662;150;46;104;1.136;495;641;236;94;142;236;89;147;1.371;544;827;10;3;7;0;0;0
2020;Enero;06. Tetuán;8.144;3.608;4.536;28;11;17;604;260;344;3.023;1.447;1.576;376;145;231;2.361;1.080;1.281;363;156;207;212;69;143;1.170;439;731;7;1;6;0;0;0
2020;Enero;07. Chamberí;4.798;2.041;2.757;22;9;13;164;76;88;921;439;482;193;67;126;1.387;638;749;244;113;131;242;92;150;1.602;597;1.005;23;10;13;0;0;0
2020;Enero;08. Fuencarral-El Pardo;8.898;3.785;5.113;40;20;20;344;150;194;2.354;1.101;1.253;498;185;313;2.813;1.241;1.572;537;228;309;414;145;269;1.879;707;1.172;19;8;11;0;0;0
