Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1. Paro registrado por Distrito, Grupo de edad y Sexo por Mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;16 a 19 años;16 a 19 años;16 a 19 años;20 a 24 años;20 a 24 años;20 a 24 años;25 a 29 años;25 a 29 años;25 a 29 años;30 a 34 años;30 a 34 años;30 a 34 años;35 a 39 años;35 a 39 años;35 a 39 años;40 a 44 años;40 a 44 años;40 a 44 años;45 a 49 años;45 a 49 años;45 a 49 años;50 a 54 años;50 a 54 años;50 a 54 años;55 a 59 años;55 a 59 años;55 a 59 años;60 y más años;60 y más años;60 y más años
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2023;Enero;Ciudad de Madrid;145.707;62.459;83.248;2.043;1.181;862;6.882;3.513;3.369;11.468;5.131;6.337;13.166;5.588;7.578;13.492;5.405;8.087;14.887;6.063;8.824;16.816;7.102;9.714;19.281;8.153;11.128;24.140;10.283;13.857;23.532;10.040;13.492
2023;Enero;01. Centro;6.424;3.312;3.112;35;21;14;177;102;75;453;213;240;651;314;337;707;353;354;708;357;351;792;426;366;888;470;418;1.045;550;495;968;506;462
2023;Enero;02. Arganzuela;5.642;2.422;3.220;48;33;15;182;88;94;458;212;246;566;260;306;538;208;330;600;248;352;594;233;361;682;294;388;980;404;576;994;442;552
2023;Enero;03. Retiro;3.392;1.372;2.020;15;10;5;90;51;39;266;129;137;302;132;170;286;117;169;326;134;192;388;133;255;457;181;276;636;236;400;626;249;377
2023;Enero;04. Salamanca;3.872;1.592;2.280;26;13;13;119;55;64;299;136;163;341;165;176;338;140;198;336;131;205;403;163;240;477;180;297;769;297;472;764;312;452
2023;Enero;05. Chamartín;3.763;1.596;2.167;20;10;10;76;41;35;263;108;155;292;134;158;297;124;173;341;132;209;405;174;231;535;226;309;755;308;447;779;339;440
2023;Enero;06. Tetuán;6.860;2.948;3.912;74;40;34;264;129;135;530;237;293;681;278;403;651;239;412;640;273;367;829;350;479;932;415;517;1.164;509;655;1.095;478;617
2023;Enero;07. Chamberí;3.835;1.616;2.219;17;7;10;117;54;63;345;151;194;359;170;189;325;151;174;356;156;200;419;183;236;483;172;311;668;258;410;746;314;432
2023;Enero;08. Fuencarral-El Pardo;7.770;3.187;4.583;71;37;34;308;157;151;554;252;302;628;247;381;628;241;387;850;321;529;933;378;555;1.084;462;622;1.368;585;783;1.346;507;839
2023;Enero;09. Moncloa-Aravaca;3.516;1.530;1.986;23;15;8;125;73;52;267;112;155;305;136;169;291;114;177;344;136;208;392;180;212;456;189;267;682;298;384;631;277;354
2023;Enero;10. Latina;11.690;5.145;6.545;177;108;69;527;273;254;884;398;486;969;404;565;1.115;487;628;1.280;530;750;1.340;595;745;1.652;723;929;1.977;844;1.133;1.769;783;986
2023;Enero;11. Carabanchel;14.028;6.017;8.011;241;140;101;783;386;397;1.184;526;658;1.247;520;727;1.350;521;829;1.515;616;899;1.717;730;987;1.871;802;1.069;2.089;912;1.177;2.031;864;1.167
2023;Enero;12. Usera;8.465;3.654;4.811;177;86;91;584;294;290;735;313;422;797;333;464;818;348;470;880;358;522;981;428;553;1.136;496;640;1.200;526;674;1.157;472;685
2023;Enero;13. Puente de Vallecas;16.042;7.044;8.998;338;203;135;963;475;488;1.396;626;770;1.586;645;941;1.617;657;960;1.671;677;994;1.785;794;991;1.861;869;992;2.480;1.083;1.397;2.345;1.015;1.330
2023;Enero;14. Moratalaz;4.468;1.890;2.578;82;45;37;230;124;106;386;193;193;365;163;202;356;143;213;434;179;255;443;174;269;613;238;375;801;330;471;758;301;457
2023;Enero;15. Ciudad Lineal;9.151;3.960;5.191;81;52;29;393;205;188;676;310;366;779;358;421;728;256;472;847;349;498;987;455;532;1.281;524;757;1.653;721;932;1.726;730;996
2023;Enero;16. Hortaleza;6.875;2.816;4.059;73;45;28;258;133;125;452;212;240;519;226;293;581;223;358;632;236;396;861;311;550;959;390;569;1.250;510;740;1.290;530;760
