año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres,fecha
2013,Enero,MADRID,253669,127047,126622,4258,2444,1814,17379,9952,7427,35391,20107,15284,14734,6390,8344,121685,63534,58151,13738,6367,7371,13008,4848,8160,33014,13245,19769,462,160,302,0,0,0,Enero 2013
2013,Enero,CENTRO,12168,6397,5771,83,55,28,432,262,170,1826,1143,683,508,258,250,5349,2979,2370,604,300,304,691,274,417,2639,1115,1524,36,11,25,0,0,0,Enero 2013
2013,Enero,ARGANZUELA,11254,5327,5927,52,29,23,345,181,164,1550,938,612,591,255,336,4664,2354,2310,729,342,387,920,339,581,2351,874,1477,52,15,37,0,0,0,Enero 2013
2013,Enero,RETIRO,6672,3087,3585,25,17,8,97,55,42,652,328,324,293,146,147,2743,1319,1424,389,193,196,537,251,286,1914,772,1142,22,6,16,0,0,0,Enero 2013
2013,Enero,SALAMANCA,7853,3531,4322,23,11,12,176,84,92,535,243,292,326,144,182,3505,1697,1808,435,190,245,585,237,348,2235,911,1324,33,14,19,0,0,0,Enero 2013
2013,Enero,CHAMARTÍN,7207,3334,3873,18,10,8,216,106,110,274,139,135,279,132,147,3110,1484,1626,420,219,201,624,279,345,2231,956,1275,35,9,26,0,0,0,Enero 2013
2013,Enero,TETUÁN,12513,6279,6234,51,33,18,2087,1169,918,1576,857,719,618,277,341,5240,2685,2555,620,311,309,585,220,365,1712,721,991,24,6,18,0,0,0,Enero 2013
2013,Enero,CHAMBERÍ,8026,3694,4332,59,25,34,274,159,115,749,389,360,268,102,166,3206,1596,1610,359,171,188,607,234,373,2477,1005,1472,27,13,14,0,0,0,Enero 2013
2013,Enero,FUENCARRAL - EL PARDO,14111,6650,7461,28,18,10,746,383,363,2144,1207,937,802,338,464,5737,2794,2943,885,442,443,976,347,629,2737,1103,1634,56,18,38,0,0,0,Enero 2013
2013,Enero,MONCLOA - ARAVACA,6440,3083,3357,33,18,15,331,190,141,563,297,266,309,147,162,2685,1339,1346,365,175,190,478,201,277,1644,706,938,32,10,22,0,0,0,Enero 2013
2013,Enero,LATINA,20742,10679,10063,199,116,83,2185,1336,849,2604,1518,1086,1520,680,840,9941,5263,4678,1362,656,706,1055,385,670,1859,716,1143,17,9,8,0,0,0,Enero 2013
2013,Enero,CARABANCHEL,23759,12297,11462,224,129,95,1472,857,615,4954,2813,2141,1472,613,859,11970,6493,5477,1234,546,688,886,297,589,1531,540,991,16,9,7,0,0,0,Enero 2013
