año,mes,distrito,total,hombres_total,mujeres_total,16_19_total,16_19_hombres,16_19_mujeres,20_24_total,20_24_hombres,20_24_mujeres,25_29_total,25_29_hombres,25_29_mujeres,30_34_total,30_34_hombres,30_34_mujeres,35_39_total,35_39_hombres,35_39_mujeres,40_44_total,40_44_hombres,40_44_mujeres,45_49_total,45_49_hombres,45_49_mujeres,50_54_total,50_54_hombres,50_54_mujeres,55_59_total,55_59_hombres,55_59_mujeres,60_mas_total,60_mas_hombres,60_mas_mujeres
2013,Enero,MADRID,253669,127047,126622,3384,1954,1430,15286,7872,7414,25325,12502,12823,33290,16421,16869,37219,18532,18687,35698,18248,17450,34192,17411,16781,29045,14599,14446,24351,11971,12380,15879,7537,8342
2013,Enero,CENTRO,12168,6397,5771,55,33,22,432,208,224,1278,624,654,1937,974,963,1942,1041,901,1685,916,769,1634,891,743,1332,729,603,1110,601,509,763,380,383
2013,Enero,ARGANZUELA,11254,5327,5927,72,34,38,550,285,265,1197,569,628,1652,756,896,1612,779,833,1501,751,750,1460,687,773,1281,621,660,1152,489,663,777,356,421
2013,Enero,RETIRO,6672,3087,3585,48,29,19,262,152,110,732,332,400,863,420,443,927,421,506,880,411,469,851,389,462,763,340,423,743,321,422,603,272,331
2013,Enero,SALAMANCA,7853,3531,4322,50,33,17,305,173,132,789,338,451,1078,483,595,1040,447,593,1004,472,532,1035,457,578,954,421,533,872,386,486,726,321,405
2013,Enero,CHAMARTÍN,7207,3334,3873,40,27,13,274,145,129,712,352,360,890,418,472,1033,482,551,925,423,502,965,451,514,895,391,504,807,343,464,666,302,364
2013,Enero,TETUÁN,12513,6279,6234,119,63,56,645,313,332,1284,617,667,1723,841,882,1781,881,900,1708,895,813,1751,911,840,1472,755,717,1227,606,621,803,397,406
2013,Enero,CHAMBERÍ,8026,3694,4332,37,20,17,304,125,179,914,407,507,1227,598,629,1179,549,630,999,455,544,978,471,507,891,407,484,830,373,457,667,289,378
2013,Enero,FUENCARRAL - EL PARDO,14111,6650,7461,114,63,51,739,366,373,1472,727,745,1851,852,999,2198,956,1242,1900,938,962,1716,825,891,1504,692,812,1519,715,804,1098,516,582
2013,Enero,MONCLOA - ARAVACA,6440,3083,3357,58,32,26,315,158,157,679,309,370,854,428,426,899,419,480,846,403,443,826,405,421,787,380,407,690,318,372,486,231,255
2013,Enero,LATINA,20742,10679,10063,273,164,109,1402,742,660,2115,1080,1035,2699,1387,1312,3063,1616,1447,3048,1600,1448,2795,1434,1361,2231,1172,1059,1903,923,980,1213,561,652
2013,Enero,CARABANCHEL,23759,12297,11462,347,190,157,1554,800,754,2251,1152,1099,3150,1593,1557,3691,1928,1763,3555,1897,1658,3231,1747,1484,2574,1307,1267,2102,1062,1040,1304,621,683
2013,Enero,USERA,13859,7161,6698,266,155,111,977,478,499,1375,701,674,1719,852,867,2089,1054,1035,2072,1118,954,1834,966,868,1569,841,728,1240,646,594,718,350,368
2013,Enero,PUENTE DE VALLECAS,26084,13922,12162,626,373,253,2102,1102,1000,2613,1321,1292,3296,1701,1595,3567,1965,1602,3562,1967,1595,3598,1949,1649,3125,1679,1446,2374,1255,1119,1221,610,611
2013,Enero,MORATALAZ,7573,3759,3814,139,86,53,506,277,229,736,379,357,855,422,433,962,471,491,1070,544,526,1170,569,601,893,413,480,746,358,388,496,240,256
2013,Enero,CIUDAD LINEAL,16258,8163,8095,142,83,59,834,442,392,1527,740,787,2047,1057,990,2251,1145,1106,2247,1139,1108,2306,1179,1127,2002,975,1027,1760,873,887,1142,530,612
2013,Enero,HORTALEZA,11179,5339,5840,128,77,51,694,365,329,1047,520,527,1343,622,721,1614,750,864,1620,758,862,1486,660,826,1310,629,681,1085,537,548,852,421,431
2013,Enero,VILLAVERDE,16133,8560,7573,325,182,143,1267,638,629,1556,811,745,2059,1098,961,2450,1287,1163,2412,1268,1144,2201,1215,986,1840,1025,815,1346,710,636,677,326,351
2013,Enero,VILLA DE VALLECAS,10019,4858,5161,199,112,87,769,394,375,1051,513,538,1522,677,845,1775,869,906,1345,675,670,1129,562,567,947,446,501,786,374,412,496,236,260
2013,Enero,VICÁLVARO,6205,3111,3094,131,76,55,446,237,209,541,273,268,756,379,377,994,446,548,1006,518,488,924,452,472,689,336,353,471,262,209,247,132,115
2013,Enero,SAN BLAS-CANILLEJAS,12813,6510,6303,192,110,82,777,403,374,1157,597,560,1400,693,707,1718,839,879,1924,925,999,1952,1028,924,1678,886,792,1334,703,631,681,326,355
2013,Enero,BARAJAS,2801,1306,1495,23,12,11,132,69,63,299,140,159,369,170,199,434,187,247,389,175,214,350,163,187,308,154,154,254,116,138,243,120,123
2013,Febrero,MADRID,256787,128598,128189,3614,2032,1582,15982,8184,7798,25564,12657,12907,33578,16608,16970,37460,18631,18829,36101,18359,17742,34509,17664,16845,29307,14769,14538,24578,12087,12491,16094,7607,8487
2013,Febrero,CENTRO,12153,6366,5787,65,40,25,456,211,245,1255,626,629,1912,947,965,1930,1028,902,1674,897,777,1644,905,739,1342,729,613,1121,612,509,754,371,383
2013,Febrero,ARGANZUELA,11263,5336,5927,69,36,33,568,286,282,1169,554,615,1627,749,878,1618,774,844,1521,774,747,1472,692,780,1262,608,654,1170,502,668,787,361,426
2013,Febrero,RETIRO,6751,3121,3630,48,28,20,265,143,122,746,347,399,894,434,460,936,429,507,883,424,459,868,392,476,756,331,425,749,329,420,606,264,342
2013,Febrero,SALAMANCA,7945,3567,4378,44,30,14,351,178,173,817,369,448,1065,489,576,1040,451,589,1005,475,530,1074,471,603,965,423,542,847,361,486,737,320,417
2013,Febrero,CHAMARTÍN,7226,3311,3915,34,17,17,258,136,122,712,340,372,882,416,466,1004,466,538,972,430,542,964,448,516,919,402,517,803,350,453,678,306,372
2013,Febrero,TETUÁN,12655,6329,6326,139,78,61,669,316,353,1270,602,668,1728,839,889,1794,872,922,1739,907,832,1776,938,838,1481,758,723,1244,621,623,815,398,417
2013,Febrero,CHAMBERÍ,8069,3750,4319,43,20,23,315,124,191,917,432,485,1230,594,636,1167,540,627,1029,478,551,962,466,496,910,428,482,839,384,455,657,284,373
2013,Febrero,FUENCARRAL - EL PARDO,14151,6725,7426,140,72,68,747,373,374,1452,724,728,1884,877,1007,2176,977,1199,1905,941,964,1724,832,892,1499,692,807,1521,722,799,1103,515,588
2013,Febrero,MONCLOA - ARAVACA,6470,3080,3390,66,37,29,347,163,184,692,318,374,870,425,445,877,405,472,853,410,443,831,405,426,784,385,399,669,302,367,481,230,251
2013,Febrero,LATINA,20950,10753,10197,281,156,125,1458,761,697,2146,1099,1047,2688,1393,1295,3072,1611,1461,3061,1593,1468,2820,1455,1365,2259,1173,1086,1938,943,995,1227,569,658
2013,Febrero,CARABANCHEL,24275,12555,11720,379,194,185,1626,840,786,2325,1203,1122,3250,1661,1589,3749,1943,1806,3577,1893,1684,3281,1779,1502,2634,1344,1290,2117,1074,1043,1337,624,713
2013,Febrero,USERA,14011,7197,6814,298,164,134,1015,496,519,1387,681,706,1726,850,876,2103,1056,1047,2097,1134,963,1816,969,847,1598,860,738,1243,637,606,728,350,378
2013,Febrero,PUENTE DE VALLECAS,26638,14258,12380,654,381,273,2204,1175,1029,2756,1416,1340,3362,1743,1619,3624,1993,1631,3596,1973,1623,3621,1977,1644,3152,1694,1458,2410,1275,1135,1259,631,628
2013,Febrero,MORATALAZ,7662,3778,3884,131,72,59,540,280,260,758,390,368,848,407,441,999,496,503,1089,541,548,1141,561,580,899,425,474,763,360,403,494,246,248
2013,Febrero,CIUDAD LINEAL,16554,8356,8198,160,100,60,899,481,418,1521,731,790,2021,1037,984,2305,1178,1127,2317,1188,1129,2344,1210,1134,2026,989,1037,1792,891,901,1169,551,618
2013,Febrero,HORTALEZA,11474,5510,5964,132,77,55,733,398,335,1042,517,525,1404,664,740,1650,763,887,1649,764,885,1523,690,833,1355,670,685,1116,546,570,870,421,449
2013,Febrero,VILLAVERDE,16217,8594,7623,336,188,148,1324,675,649,1556,808,748,2071,1115,956,2424,1279,1145,2419,1260,1159,2209,1201,1008,1839,1021,818,1338,711,627,701,336,365
2013,Febrero,VILLA DE VALLECAS,10145,4898,5247,210,117,93,805,420,385,1079,513,566,1526,681,845,1791,877,914,1345,668,677,1143,574,569,939,438,501,807,377,430,500,233,267
2013,Febrero,VICÁLVARO,6351,3166,3185,153,93,60,464,241,223,517,268,249,784,394,390,1028,449,579,1024,504,520,954,477,477,701,344,357,482,265,217,244,131,113
2013,Febrero,SAN BLAS-CANILLEJAS,12994,6619,6375,205,118,87,798,419,379,1169,591,578,1425,712,713,1730,852,878,1943,922,1021,1995,1059,936,1682,900,782,1348,705,643,699,341,358
2013,Febrero,BARAJAS,2833,1329,1504,27,14,13,140,68,72,278,128,150,381,181,200,443,192,251,403,183,220,347,163,184,305,155,150,261,120,141,248,125,123
2013,Marzo,MADRID,257657,129300,128357,3616,2013,1603,16040,8226,7814,25523,12737,12786,33591,16617,16974,37409,18661,18748,36286,18420,17866,34690,17839,16851,29559,14942,14617,24923,12291,12632,16020,7554,8466
2013,Marzo,CENTRO,12265,6500,5765,59,39,20,464,231,233,1221,617,604,1943,974,969,1963,1051,912,1687,916,771,1649,922,727,1373,747,626,1157,624,533,749,379,370
