"fecha","distrito","poblacion"
"01-2013","ARGANZUELA",154862
"01-2013","MORATALAZ",98385
"01-2013","MONCLOA - ARAVACA",117670
"01-2013","FUENCARRAL - EL PARDO",234920
"01-2013","SALAMANCA",146568
"01-2013","SAN BLAS-CANILLEJAS",156092
"01-2013","CIUDAD LINEAL",219928
"01-2013","CENTRO",139410
"01-2013","VICÁLVARO",70679
"01-2013","VILLA DE VALLECAS",98060
"01-2013","TETUÁN",156487
"01-2013","CHAMBERÍ",141881
"01-2013","PUENTE DE VALLECAS",234251
"01-2013","LATINA",244438
"01-2013","VILLAVERDE",144930
"01-2013","BARAJAS",46265
"01-2013","CARABANCHEL",248738
"01-2013","USERA",136631
"01-2013","HORTALEZA",174655
"01-2013","RETIRO",120810
"01-2013","CHAMARTÍN",145449
"01-2013","MADRID",3231109
"02-2013","ARGANZUELA",154647
"02-2013","MORATALAZ",98240
"02-2013","MONCLOA - ARAVACA",117519
"02-2013","FUENCARRAL - EL PARDO",234705
"02-2013","SALAMANCA",146317
"02-2013","SAN BLAS-CANILLEJAS",155923
"02-2013","CIUDAD LINEAL",219461
"02-2013","CENTRO",139077
"02-2013","VICÁLVARO",70537
"02-2013","VILLA DE VALLECAS",98253
"02-2013","TETUÁN",156245
"02-2013","CHAMBERÍ",141642
"02-2013","PUENTE DE VALLECAS",233929
"02-2013","LATINA",243964
"02-2013","VILLAVERDE",144768
"02-2013","BARAJAS",46312
"02-2013","CARABANCHEL",248265
"02-2013","USERA",136550
"02-2013","HORTALEZA",174559
"02-2013","RETIRO",120638
"02-2013","CHAMARTÍN",145172
"02-2013","MADRID",3226723
"03-2013","ARGANZUELA",153583
"03-2013","MORATALAZ",97749
"03-2013","MONCLOA - ARAVACA",117006
"03-2013","FUENCARRAL - EL PARDO",233706
"03-2013","SALAMANCA",145202
"03-2013","SAN BLAS-CANILLEJAS",155258
"03-2013","CIUDAD LINEAL",218051
"03-2013","CENTRO",137287
"03-2013","VICÁLVARO",70259
"03-2013","VILLA DE VALLECAS",98127
"03-2013","TETUÁN",154769
"03-2013","CHAMBERÍ",140663
"03-2013","PUENTE DE VALLECAS",232082
"03-2013","LATINA",242412
"03-2013","VILLAVERDE",143776
"03-2013","BARAJAS",46065
"03-2013","CARABANCHEL",246374
"03-2013","USERA",135447
"03-2013","HORTALEZA",173726
"03-2013","RETIRO",120034
"03-2013","CHAMARTÍN",144246
"03-2013","MADRID",3205822
"04-2013","ARGANZUELA",153682
"04-2013","MORATALAZ",97718
"04-2013","MONCLOA - ARAVACA",117145
"04-2013","FUENCARRAL - EL PARDO",234027
"04-2013","SALAMANCA",145396
"04-2013","SAN BLAS-CANILLEJAS",155396
"04-2013","CIUDAD LINEAL",218165
"04-2013","CENTRO",137358
"04-2013","VICÁLVARO",70301
"04-2013","VILLA DE VALLECAS",98501
"04-2013","TETUÁN",154909
"04-2013","CHAMBERÍ",140860
"04-2013","PUENTE DE VALLECAS",232444
"04-2013","LATINA",242799
"04-2013","VILLAVERDE",144167
"04-2013","BARAJAS",46118
"04-2013","CARABANCHEL",246863
"04-2013","USERA",135826
"04-2013","HORTALEZA",173971
"04-2013","RETIRO",120100
"04-2013","CHAMARTÍN",144331
"04-2013","MADRID",3210077
"05-2013","ARGANZUELA",153249
"05-2013","MORATALAZ",97512
"05-2013","MONCLOA - ARAVACA",117005
"05-2013","FUENCARRAL - EL PARDO",233917
"05-2013","SALAMANCA",144844
"05-2013","SAN BLAS-CANILLEJAS",155125
"05-2013","CIUDAD LINEAL",217569
"05-2013","CENTRO",136752
"05-2013","VICÁLVARO",70236
"05-2013","VILLA DE VALLECAS",98652
"05-2013","TETUÁN",154196
"05-2013","CHAMBERÍ",140551
"05-2013","PUENTE DE VALLECAS",231946
"05-2013","LATINA",242307
"05-2013","VILLAVERDE",143953
"05-2013","BARAJAS",46053
"05-2013","CARABANCHEL",246235
"05-2013","USERA",135468
"05-2013","HORTALEZA",173806
"05-2013","RETIRO",119946
"05-2013","CHAMARTÍN",144160
"05-2013","MADRID",3203482
"06-2013","ARGANZUELA",153241
"06-2013","MORATALAZ",97372
"06-2013","MONCLOA - ARAVACA",116895
"06-2013","FUENCARRAL - EL PARDO",233909
"06-2013","SALAMANCA",144899
"06-2013","SAN BLAS-CANILLEJAS",155128
"06-2013","CIUDAD LINEAL",217407
"06-2013","CENTRO",136669
"06-2013","VICÁLVARO",70211
"06-2013","VILLA DE VALLECAS",98726
"06-2013","TETUÁN",154173
"06-2013","CHAMBERÍ",140300
"06-2013","PUENTE DE VALLECAS",231762
"06-2013","LATINA",242167
"06-2013","VILLAVERDE",143868
"06-2013","BARAJAS",46062
"06-2013","CARABANCHEL",246204
"06-2013","USERA",135486
"06-2013","HORTALEZA",173770
"06-2013","RETIRO",119811
"06-2013","CHAMARTÍN",144049
"06-2013","MADRID",3202109
"07-2013","ARGANZUELA",152366
"07-2013","MORATALAZ",96788
"07-2013","MONCLOA - ARAVACA",116209
"07-2013","FUENCARRAL - EL PARDO",233100
"07-2013","SALAMANCA",143949
"07-2013","SAN BLAS-CANILLEJAS",154401
"07-2013","CIUDAD LINEAL",216121
"07-2013","CENTRO",135176
"07-2013","VICÁLVARO",69872
"07-2013","VILLA DE VALLECAS",98291
"07-2013","TETUÁN",153087
"07-2013","CHAMBERÍ",139468
"07-2013","PUENTE DE VALLECAS",230296
"07-2013","LATINA",240508
"07-2013","VILLAVERDE",143073
"07-2013","BARAJAS",45839
"07-2013","CARABANCHEL",244355
"07-2013","USERA",134517
"07-2013","HORTALEZA",173162
"07-2013","RETIRO",119423
"07-2013","CHAMARTÍN",143376
"07-2013","MADRID",3183377
"08-2013","ARGANZUELA",152293
"08-2013","MORATALAZ",96842
"08-2013","MONCLOA - ARAVACA",116083
"08-2013","FUENCARRAL - EL PARDO",233171
"08-2013","SALAMANCA",143826
"08-2013","SAN BLAS-CANILLEJAS",154386
"08-2013","CIUDAD LINEAL",216116
"08-2013","CENTRO",135148
"08-2013","VICÁLVARO",69973
"08-2013","VILLA DE VALLECAS",98459
"08-2013","TETUÁN",153226
"08-2013","CHAMBERÍ",139326
"08-2013","PUENTE DE VALLECAS",230409
"08-2013","LATINA",240256
"08-2013","VILLAVERDE",143182
"08-2013","BARAJAS",45858
"08-2013","CARABANCHEL",244244
"08-2013","USERA",134526
"08-2013","HORTALEZA",173195
"08-2013","RETIRO",119258
"08-2013","CHAMARTÍN",143357
"08-2013","MADRID",3183134
"09-2013","ARGANZUELA",152589
"09-2013","MORATALAZ",96843
"09-2013","MONCLOA - ARAVACA",116361
"09-2013","FUENCARRAL - EL PARDO",233620
"09-2013","SALAMANCA",144068
"09-2013","SAN BLAS-CANILLEJAS",154560
"09-2013","CIUDAD LINEAL",216442
"09-2013","CENTRO",135594
"09-2013","VICÁLVARO",70051
"09-2013","VILLA DE VALLECAS",98761
"09-2013","TETUÁN",153529
"09-2013","CHAMBERÍ",139614
"09-2013","PUENTE DE VALLECAS",230908
"09-2013","LATINA",240417
"09-2013","VILLAVERDE",143396
"09-2013","BARAJAS",45894
"09-2013","CARABANCHEL",244647
"09-2013","USERA",134813
"09-2013","HORTALEZA",173594
"09-2013","RETIRO",119395
"09-2013","CHAMARTÍN",143525
"09-2013","MADRID",3188621
"10-2013","ARGANZUELA",152314
"10-2013","MORATALAZ",96716
"10-2013","MONCLOA - ARAVACA",116307
"10-2013","FUENCARRAL - EL PARDO",233464
"10-2013","SALAMANCA",144139
"10-2013","SAN BLAS-CANILLEJAS",154190
"10-2013","CIUDAD LINEAL",215902
"10-2013","CENTRO",135472
"10-2013","VICÁLVARO",69972
"10-2013","VILLA DE VALLECAS",98822
"10-2013","TETUÁN",153277
"10-2013","CHAMBERÍ",139508
"10-2013","PUENTE DE VALLECAS",230125
"10-2013","LATINA",239720
"10-2013","VILLAVERDE",142983
"10-2013","BARAJAS",45806
"10-2013","CARABANCHEL",244292
"10-2013","USERA",134458
"10-2013","HORTALEZA",173385
"10-2013","RETIRO",119343
"10-2013","CHAMARTÍN",143301
"10-2013","MADRID",3183496
"11-2013","ARGANZUELA",152094
"11-2013","MORATALAZ",96546
"11-2013","MONCLOA - ARAVACA",116217
"11-2013","FUENCARRAL - EL PARDO",233322
"11-2013","SALAMANCA",144052
"11-2013","SAN BLAS-CANILLEJAS",153928
"11-2013","CIUDAD LINEAL",215274
"11-2013","CENTRO",135183
"11-2013","VICÁLVARO",69899
"11-2013","VILLA DE VALLECAS",98890
"11-2013","TETUÁN",153029
"11-2013","CHAMBERÍ",139250
"11-2013","PUENTE DE VALLECAS",229743
"11-2013","LATINA",239246
"11-2013","VILLAVERDE",142746
"11-2013","BARAJAS",45778
"11-2013","CARABANCHEL",243937
"11-2013","USERA",134352
"11-2013","HORTALEZA",173128
"11-2013","RETIRO",119197
"11-2013","CHAMARTÍN",143153
"11-2013","MADRID",3178964
"12-2013","ARGANZUELA",152052
"12-2013","MORATALAZ",96471
"12-2013","MONCLOA - ARAVACA",116147
"12-2013","FUENCARRAL - EL PARDO",233198
"12-2013","SALAMANCA",144095
"12-2013","SAN BLAS-CANILLEJAS",153788
"12-2013","CIUDAD LINEAL",214974
"12-2013","CENTRO",134937
"12-2013","VICÁLVARO",69884
"12-2013","VILLA DE VALLECAS",98933
"12-2013","TETUÁN",153143
"12-2013","CHAMBERÍ",139176
"12-2013","PUENTE DE VALLECAS",229508
"12-2013","LATINA",238858
"12-2013","VILLAVERDE",142502
"12-2013","BARAJAS",45721
"12-2013","CARABANCHEL",243573
"12-2013","USERA",134154
"12-2013","HORTALEZA",173122
"12-2013","RETIRO",119148
"12-2013","CHAMARTÍN",143124
"12-2013","MADRID",3176508
"01-2014","ARGANZUELA",151677
"01-2014","MORATALAZ",96296
"01-2014","MONCLOA - ARAVACA",115859
"01-2014","FUENCARRAL - EL PARDO",232996
"01-2014","SALAMANCA",143624
"01-2014","SAN BLAS-CANILLEJAS",153396
"01-2014","CIUDAD LINEAL",214163
"01-2014","CENTRO",134319
"01-2014","VICÁLVARO",69724
"01-2014","VILLA DE VALLECAS",98934
"01-2014","TETUÁN",152578
"01-2014","CHAMBERÍ",138875
"01-2014","PUENTE DE VALLECAS",228729
"01-2014","LATINA",237995
"01-2014","VILLAVERDE",142085
"01-2014","BARAJAS",45661
"01-2014","CARABANCHEL",242717
"01-2014","USERA",133571
"01-2014","HORTALEZA",172917
"01-2014","RETIRO",118996
"01-2014","CHAMARTÍN",142968
"01-2014","MADRID",3168080
"02-2014","ARGANZUELA",151624
"02-2014","MORATALAZ",96172
"02-2014","MONCLOA - ARAVACA",115817
"02-2014","FUENCARRAL - EL PARDO",233064
"02-2014","SALAMANCA",143532
"02-2014","SAN BLAS-CANILLEJAS",153404
"02-2014","CIUDAD LINEAL",213956
"02-2014","CENTRO",133963
"02-2014","VICÁLVARO",69650
"02-2014","VILLA DE VALLECAS",99029
"02-2014","TETUÁN",152532
"02-2014","CHAMBERÍ",138601
"02-2014","PUENTE DE VALLECAS",228706
"02-2014","LATINA",237733
"02-2014","VILLAVERDE",142103
"02-2014","BARAJAS",45633
"02-2014","CARABANCHEL",242750
"02-2014","USERA",133532
"02-2014","HORTALEZA",173142
"02-2014","RETIRO",118839
"02-2014","CHAMARTÍN",142835
"02-2014","MADRID",3166617
"03-2014","ARGANZUELA",151826
"03-2014","MORATALAZ",96158
"03-2014","MONCLOA - ARAVACA",116014
"03-2014","FUENCARRAL - EL PARDO",233708
