año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres
2013,Enero,Ciudad de Madrid,253.669,127.047,126.622,4.258,2.444,1.814,17.379,9.952,7.427,35.391,20.107,15.284,14.734,6.390,8.344,121.685,63.534,58.151,13.738,6.367,7.371,13.008,4.848,8.160,33.014,13.245,19.769,462,160,302,0,0,0
2013,Enero,01. Centro,12.168,6.397,5.771,83,55,28,432,262,170,1.826,1.143,683,508,258,250,5.349,2.979,2.370,604,300,304,691,274,417,2.639,1.115,1.524,36,11,25,0,0,0
2013,Enero,02. Arganzuela,11.254,5.327,5.927,52,29,23,345,181,164,1.550,938,612,591,255,336,4.664,2.354,2.310,729,342,387,920,339,581,2.351,874,1.477,52,15,37,0,0,0
2013,Enero,03. Retiro,6.672,3.087,3.585,25,17,8,97,55,42,652,328,324,293,146,147,2.743,1.319,1.424,389,193,196,537,251,286,1.914,772,1.142,22,6,16,0,0,0
2013,Enero,04. Salamanca,7.853,3.531,4.322,23,11,12,176,84,92,535,243,292,326,144,182,3.505,1.697,1.808,435,190,245,585,237,348,2.235,911,1.324,33,14,19,0,0,0
2013,Enero,05. Chamartín,7.207,3.334,3.873,18,10,8,216,106,110,274,139,135,279,132,147,3.110,1.484,1.626,420,219,201,624,279,345,2.231,956,1.275,35,9,26,0,0,0
2013,Enero,06. Tetuán,12.513,6.279,6.234,51,33,18,2.087,1.169,918,1.576,857,719,618,277,341,5.240,2.685,2.555,620,311,309,585,220,365,1.712,721,991,24,6,18,0,0,0
2013,Enero,07. Chamberí,8.026,3.694,4.332,59,25,34,274,159,115,749,389,360,268,102,166,3.206,1.596,1.610,359,171,188,607,234,373,2.477,1.005,1.472,27,13,14,0,0,0
2013,Enero,08. Fuencarral-El Pardo,14.111,6.650,7.461,28,18,10,746,383,363,2.144,1.207,937,802,338,464,5.737,2.794,2.943,885,442,443,976,347,629,2.737,1.103,1.634,56,18,38,0,0,0
2013,Enero,09. Moncloa-Aravaca,6.440,3.083,3.357,33,18,15,331,190,141,563,297,266,309,147,162,2.685,1.339,1.346,365,175,190,478,201,277,1.644,706,938,32,10,22,0,0,0
